,action,effectiveness
3232,Use hook and line fishing instead of other fishing methods,No evidence found (no assessment)
3233,Use hormone treatment to induce sperm and egg release during captive breeding,Trade-off between benefit and harms
3234,Use hormones and/or other drugs during captive-breeding programmes to induce reproduction/birth,Awaiting assessment
3235,Use human observers onboard fishing vessels to monitor catches and discards,Awaiting assessment
3236,Use humans to assist migrating amphibians across roads,Unlikely to be beneficial
3237,Use in-water devices to reduce fish loss from ponds,Unknown effectiveness (limited evidence)
3238,Use irrigation systems,Awaiting assessment
3239,Use irrigation systems for amphibian sites,No evidence found (no assessment)
3240,Use larger hooks,Awaiting assessment
3241,Use larger hooks to reduce seabird bycatch,No evidence found (no assessment)
3242,Use leave-tree harvesting instead of clearcutting,Unlikely to be beneficial
3243,Use legislative regulation to protect wild populations,Beneficial
3244,Use legislative regulation to protect wild populations,Unknown effectiveness (limited evidence)
3245,Use light/lasers to deter crop damage by mammals to reduce human-wildlife conflict,Unknown effectiveness (limited evidence)
3246,Use lights and sound to deter crop damage by mammals to reduce human-wildlife conflict,Unlikely to be beneficial
3247,Use lights and sound to deter predation of livestock by mammals to reduce human-wildlife conflict,Likely to be beneficial
3248,Use lights low in spectral red to reduce mortality from artificial lights,Unknown effectiveness (limited evidence)
3249,Use lime to reduce acidification in lakes,Unknown effectiveness (limited evidence)
3250,Use lion dung to deter domestic cats,No evidence found (no assessment)
3251,Use livestock fences that are permeable to wildlife,Likely to be beneficial
3252,"Use loud noises to deter crop damage (e.g. banger sticks, drums, tins, iron sheets) by mammals to reduce human-wildlife conflict",Likely to be beneficial
3253,Use loud noises to deter predation of livestock by mammals to reduce human-wildlife conflict,Likely to be beneficial
3254,Use loud-speakers to broadcast primate alarm calls,No evidence found (no assessment)
3255,"Use loud-speakers to broadcast sounds of potential threats (e.g. barking dogs, explosions, gunshots)",No evidence found (no assessment)
3256,Use low impact harvesting techniques (for wild biological resources),No evidence found (no assessment)
3257,Use low impact vehicles for harvesting (wild biological resources),No evidence found (no assessment)
3258,Use low intensity lighting,Awaiting assessment
3259,Use low intensity lighting,Likely to be beneficial
3260,Use low-impact methods to harvest vegetation: brackish/saline swamps,No evidence found (no assessment)
3261,Use low-impact methods to harvest vegetation: brackish/salt marshes,No evidence found (no assessment)
3262,Use low-impact methods to harvest vegetation: freshwater marshes,No evidence found (no assessment)
3263,Use low-impact methods to harvest vegetation: freshwater swamps,Unknown effectiveness (limited evidence)
3264,Use low-impact methods to hunt/collect animals,No evidence found (no assessment)
3265,Use lower profile gillnets with longer/no tie-downs,No evidence found (no assessment)
3266,Use lower water pressure during hydraulic dredging,No evidence found (no assessment)
3267,Use mammal-safe timber treatments in roof spaces,No evidence found (no assessment)
3268,Use marketing strategies to increase the value of marshes or swamps,Unknown effectiveness (limited evidence)
3269,Use mass-emergence devices to increase natural enemy populations,Evidence not assessed
3270,Use mechanical thinning before or after planting,Beneficial
3271,"Use methods to dampen underwater noise emissions (e.g. bubble curtains, screens)",Unknown effectiveness (limited evidence)
3272,"Use methods to reduce sediment disturbance during dredging (e.g. curtains, screens)",No evidence found (no assessment)
3273,Use methods to trace the source of catch,Awaiting assessment
3274,Use microlites to help birds migrate,Unknown effectiveness (limited evidence)
3275,Use mirrors to deter nest predators,No evidence found (no assessment)
3276,Use mixed pasture,Likely to be ineffective or harmful
3277,Use mixed stocking,Evidence not assessed
3278,Use mixed stocking,No evidence found (no assessment)
3279,Use mobile phone communications to warn farmers of problematic mammals (e.g. elephants),No evidence found (no assessment)
3280,Use moorings which reduce or avoid contact with the seabed (eco- moorings),No evidence found (no assessment)
3281,Use more than one net on otter trawls,No evidence found (no assessment)
3282,Use mowing techniques to reduce chick mortality,Likely to be beneficial
3283,Use mowing techniques to reduce mortality,Beneficial
3284,Use multiple barriers to protect nests,Unknown effectiveness (limited evidence)
3285,Use naphthalene to deter mammalian predators,Unknown effectiveness (limited evidence)
3286,Use native species instead of non-native species in aquaculture systems,No evidence found (no assessment)
3287,Use natural control agents: cleaner wrasse,Awaiting assessment
3288,Use negative stimuli to deter consumption of livestock feed by mammals to reduce human-wildlife conflict,Unknown effectiveness (limited evidence)
3289,Use nest covers to protect against human disturbance,Awaiting assessment
3290,Use nest covers to reduce the impact of research on predation of ground-nesting seabirds,Unknown effectiveness (limited evidence)
3291,Use nets to keep primates out of fruit trees,Unknown effectiveness (limited evidence)
3292,Use netting of contrasting colour in a trawl net,Awaiting assessment
3293,Use netting to exclude fish-eating birds,Likely to be beneficial
3294,Use new crop types to benefit wildlife (such as perennial cereal crops),No evidence found (no assessment)
3295,Use noise aversive conditioning to deter crop damage by mammals to reduce human-wildlife conflict,Unknown effectiveness (limited evidence)
3296,Use noise aversive conditioning to deter mammals from fishing gear,Unknown effectiveness (limited evidence)
3297,Use non-lethal measures to prevent bats from accessing fruit in orchards to reduce human-wildlife conflict,Likely to be beneficial
3298,Use non-lethal methods to deter carnivores from attacking humans,Likely to be beneficial
3299,Use non-offset hooks,Awaiting assessment
3300,Use non-ringed hooks,Awaiting assessment
3301,Use non-toxic antifouling coatings on surfaces,No evidence found (no assessment)
3302,Use non-toxic antifouling coatings on surfaces,No evidence found (no assessment)
3303,Use observers on board vessels to detect mammals and allow vessel course or speed to be altered,No evidence found (no assessment)
3304,Use of natural hedges to deter primates,No evidence found (no assessment)
3305,"Use of non-native, invasive or other problematic species from populations established in the wild for recreational or commercial purposes",No evidence found (no assessment)
3306,Use of probiotics and immunostimulants,Awaiting assessment
3307,Use of unpalatable buffer crops,No evidence found (no assessment)
3308,Use onboard CCTV for monitoring catches and discards,Awaiting assessment
3309,Use organic farming instead of conventional farming,Likely to be beneficial
3310,Use organic pest control instead of synthetic pesticides,No evidence found (no assessment)
3311,Use organic rather than mineral fertilisers,No evidence found (no assessment)
3312,Use organic rather than mineral fertilizers,Beneficial
3313,Use other bioremediation methods in aquaculture,No evidence found (no assessment)
3314,Use partial retention harvesting instead of clearcutting,Unknown effectiveness (limited evidence)
3315,Use passive listening devices to detect mammals and prompt fishing vessels to move away,No evidence found (no assessment)
3316,Use patch retention harvesting instead of clear-cutting,No evidence found (no assessment)
3317,Use patch retention harvesting instead of clearcutting,No evidence found (no assessment)
3318,Use patch retention harvesting instead of clearcutting,Likely to be beneficial
3319,Use patch retention harvesting instead of clearcutting,Likely to be beneficial
3320,Use patch retention instead of clearcutting,Unknown effectiveness (limited evidence)
3321,Use perch-deterrents to stop raptors perching on pylons,Likely to be beneficial
3322,Use perches to increase foraging success,Unknown effectiveness (limited evidence)
